Measure,Place,Place Type,Year,Geoid,Max Month,Measure Desc Short,Measure Type,measure_axis_label,no_definition,Notes,Quantile,rate_label,Strategy,wip_definition,yes_definition,n_missing,Number of Records,Rate Denom,rate_mult,Value Count,Value Rate
Deaths (Black),Alamance,Counties,2020,37001,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 9 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"171,094","100,000",31,18.11869499
Deaths (Black),Alamance,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 9 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"171,094","100,000",31,18.11869499
Deaths (Black),Albemarle District,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 10 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"277,809","100,000",26,9.358948054
Deaths (Black),Alexander,Counties,2020,37003,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"11,690","100,000",1,8.554319932
Deaths (Black),Alexander,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"11,690","100,000",1,8.554319932
Deaths (Black),Alleghany,Counties,2020,37005,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"1,071","100,000",0,0
Deaths (Black),Alliance,LMEMCO Regions,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 150 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"2,534,261","100,000",413,16.296664
Deaths (Black),Anson,Counties,2020,37007,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 2 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"60,553","100,000",5,8.257229204
Deaths (Black),Anson,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 2 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"60,553","100,000",5,8.257229204
Deaths (Black),Appalachian District,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 1 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"8,107","100,000",1,12.33501912
Deaths (Black),Ashe,Counties,2020,37009,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"1,440","100,000",0,0
Deaths (Black),Avery,Counties,2020,37011,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 1 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"4,127","100,000",1,24.23067604
Deaths (Black),Beaufort,Counties,2020,37013,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 2 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"58,353","100,000",7,11.99595565
Deaths (Black),Beaufort,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 2 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"58,353","100,000",7,11.99595565
Deaths (Black),Bertie,Counties,2020,37015,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 1 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"58,938","100,000",5,8.483491126
Deaths (Black),Bladen,Counties,2020,37017,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 4 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"56,541","100,000",7,12.38039653
Deaths (Black),Bladen,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 4 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"56,541","100,000",7,12.38039653
Deaths (Black),Brunswick,Counties,2020,37019,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 3 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"71,663","100,000",10,13.95420231
Deaths (Black),Brunswick,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 3 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"71,663","100,000",10,13.95420231
Deaths (Black),Buncombe,Counties,2020,37021,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 7 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"85,842","100,000",27,31.45313483
Deaths (Black),Buncombe,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 7 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"85,842","100,000",27,31.45313483
Deaths (Black),Burke,Counties,2020,37023,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 1 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"30,913","100,000",8,25.87908
Deaths (Black),Burke,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 1 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"30,913","100,000",8,25.87908
Deaths (Black),Cabarrus,Counties,2020,37025,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 11 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"197,666","100,000",43,21.75386764
Deaths (Black),Cabarrus,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 11 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"197,666","100,000",43,21.75386764
Deaths (Black),Caldwell,Counties,2020,37027,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 4 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"21,595","100,000",8,37.04561241
Deaths (Black),Caldwell,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 4 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"21,595","100,000",8,37.04561241
Deaths (Black),Camden,Counties,2020,37029,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"6,667","100,000",0,0
Deaths (Black),Cardinal Innovations,LMEMCO Regions,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 190 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"3,835,280","100,000",598,15.59208193
Deaths (Black),Carteret,Counties,2020,37031,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 4 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"20,839","100,000",7,33.59086329
Deaths (Black),Carteret,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 4 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"20,839","100,000",7,33.59086329
Deaths (Black),Caswell,Counties,2020,37033,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"37,300","100,000",2,5.361930295
Deaths (Black),Caswell,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"37,300","100,000",2,5.361930295
Deaths (Black),Catawba,Counties,2020,37035,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 5 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"71,839","100,000",12,16.70401871
Deaths (Black),Catawba,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 5 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"71,839","100,000",12,16.70401871
Deaths (Black),Chatham,Counties,2020,37037,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 3 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"45,622","100,000",8,17.53539959
Deaths (Black),Chatham,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 3 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"45,622","100,000",8,17.53539959
Deaths (Black),Cherokee,Counties,2020,37039,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 1 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"2,633","100,000",1,37.97949108
Deaths (Black),Cherokee,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 1 and rate was NA,Lowest,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"2,633","100,000",1,37.97949108
Deaths (Black),Chowan,Counties,2020,37041,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 1 and rate was NA,Low,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,"24,282","100,000",1,4.118276913
Deaths (Black),Clay,Counties,2020,37043,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Low,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,899,"100,000",0,0
Deaths (Black),Clay,LHD Districts,2020,,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Low,"Rate per 100,000 residents",8B) Equity: Black NH,NA,NA,0,1,899,"100,000",0,0
