"","Measure","Place","Place.Type","Year","Geoid","Max.Month","Measure.Desc.Short","Measure.Type","measure_axis_label","no_definition","Notes","Quantile","rate_label","Strategy","wip_definition","yes_definition","n_missing","Number.of.Records","Rate.Denom","rate_mult","Value.Count","Value.Rate"
"1","Deaths (Black)","Alamance","Counties",2010,37001,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"138,810","100,000",5,3.602045962
"2","Deaths (Black)","Alexander","Counties",2010,37003,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"11,319","100,000",1,8.834702712
"3","Deaths (Black)","Alleghany","Counties",2010,37005,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"833","100,000",0,0
"4","Deaths (Black)","Anson","Counties",2010,37007,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"61,857","100,000",6,9.699791454
"5","Deaths (Black)","Ashe","Counties",2010,37009,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"1,197","100,000",0,0
"6","Deaths (Black)","Avery","Counties",2010,37011,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"4,533","100,000",0,0
"7","Deaths (Black)","Beaufort","Counties",2010,37013,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 2 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"62,511","100,000",3,4.799155349
"8","Deaths (Black)","Bertie","Counties",2010,37015,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"61,651","100,000",2,3.244067412
"9","Deaths (Black)","Bladen","Counties",2010,37017,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"58,762","100,000",1,1.701780062
"10","Deaths (Black)","Brunswick","Counties",2010,37019,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"61,574","100,000",3,4.872186312
"11","Deaths (Black)","Buncombe","Counties",2010,37021,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"83,472","100,000",6,7.188039103
"12","Deaths (Black)","Burke","Counties",2010,37023,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 2 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"30,267","100,000",3,9.911785112
"13","Deaths (Black)","Cabarrus","Counties",2010,37025,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 2 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"124,543","100,000",7,5.620548726
"14","Deaths (Black)","Caldwell","Counties",2010,37027,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"21,661","100,000",3,13.8497761
"15","Deaths (Black)","Camden","Counties",2010,37029,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"7,628","100,000",0,0
"16","Deaths (Black)","Carteret","Counties",2010,37031,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"23,339","100,000",0,0
"17","Deaths (Black)","Caswell","Counties",2010,37033,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"39,884","100,000",1,2.507271086
"18","Deaths (Black)","Catawba","Counties",2010,37035,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"66,384","100,000",2,3.012774162
"19","Deaths (Black)","Chatham","Counties",2010,37037,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"42,255","100,000",2,4.733167672
"20","Deaths (Black)","Cherokee","Counties",2010,37039,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"2,587","100,000",0,0
"21","Deaths (Black)","Chowan","Counties",2010,37041,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"26,295","100,000",1,3.803004373
"22","Deaths (Black)","Clay","Counties",2010,37043,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"621","100,000",0,0
"23","Deaths (Black)","Cleveland","Counties",2010,37045,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 4 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"103,131","100,000",7,6.78748388
"24","Deaths (Black)","Columbus","Counties",2010,37047,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"84,258","100,000",5,5.93415462
"25","Deaths (Black)","Craven","Counties",2010,37049,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"116,885","100,000",8,6.844334175
"26","Deaths (Black)","Cumberland","Counties",2010,37051,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 9 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"581,558","100,000",41,7.050027684
"27","Deaths (Black)","Currituck","Counties",2010,37053,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"8,671","100,000",0,0
"28","Deaths (Black)","Dare","Counties",2010,37055,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"5,653","100,000",0,0
"29","Deaths (Black)","Davidson","Counties",2010,37057,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"74,564","100,000",8,10.72903814
"30","Deaths (Black)","Davie","Counties",2010,37059,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"14,189","100,000",1,7.047713017
"31","Deaths (Black)","Duplin","Counties",2010,37061,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"69,688","100,000",1,1.434967283
"32","Deaths (Black)","Durham","Counties",2010,37063,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 9 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"490,674","100,000",51,10.3938664
"33","Deaths (Black)","Edgecombe","Counties",2010,37065,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"151,377","100,000",7,4.62421636
"34","Deaths (Black)","Forsyth","Counties",2010,37067,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 2 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"448,930","100,000",23,5.123293164
"35","Deaths (Black)","Franklin","Counties",2010,37069,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"78,910","100,000",3,3.801799518
"36","Deaths (Black)","Gaston","Counties",2010,37071,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"151,256","100,000",6,3.966784789
"37","Deaths (Black)","Gates","Counties",2010,37073,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"20,855","100,000",0,0
"38","Deaths (Black)","Graham","Counties",2010,37075,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"242","100,000",0,0
"39","Deaths (Black)","Granville","Counties",2010,37077,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"95,534","100,000",3,3.140243264
"40","Deaths (Black)","Greene","Counties",2010,37079,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Low","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"40,887","100,000",0,0
"41","Deaths (Black)","Guilford","Counties",2010,37081,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 3 and rate was NA","Middle","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"751,884","100,000",40,5.31996957
"42","Deaths (Black)","Halifax","Counties",2010,37083,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Middle","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"147,457","100,000",2,1.356327607
"43","Deaths (Black)","Harnett","Counties",2010,37085,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Middle","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"123,817","100,000",5,4.038217692
"44","Deaths (Black)","Haywood","Counties",2010,37087,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Middle","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"4,304","100,000",0,0
"45","Deaths (Black)","Henderson","Counties",2010,37089,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Middle","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"17,419","100,000",2,11.48171537
"46","Deaths (Black)","Hertford","Counties",2010,37091,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Middle","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"72,203","100,000",2,2.769968007
"47","Deaths (Black)","Hoke","Counties",2010,37093,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Middle","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"74,764","100,000",1,1.337542133
"48","Deaths (Black)","Hyde","Counties",2010,37095,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Middle","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"9,382","100,000",0,0
"49","Deaths (Black)","Iredell","Counties",2010,37097,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Middle","Rate per 100,000 residents","8B) Equity: Black NH",NA,NA,0,1,"96,576","100,000",4,4.141815772
