"","Measure","Place","Place.Type","Year","Geoid","Max.Month","Measure.Desc.Short","Measure.Type","measure_axis_label","no_definition","Notes","Quantile","rate_label","Strategy","wip_definition","yes_definition","n_missing","Number.of.Records","Rate.Denom","rate_mult","Value.Count","Value.Rate"
"1","Deaths (White nH)","Alamance","Counties",2010,37001,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 9 and rate was NA","Lowest","Rate per 100,000 residents","8E) Equity: White NH",NA,NA,0,1,"504,941","100,000",80,15.84343517
"2","Deaths (White nH)","Alexander","Counties",2010,37003,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 10 and rate was NA","Lowest","Rate per 100,000 residents","8E) Equity: White NH",NA,NA,0,1,"162,562","100,000",48,29.52719578
"3","Deaths (White nH)","Alleghany","Counties",2010,37005,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 3 and rate was NA","Lowest","Rate per 100,000 residents","8E) Equity: White NH",NA,NA,0,1,"48,808","100,000",10,20.48844452
"4","Deaths (White nH)","Anson","Counties",2010,37007,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Lowest","Rate per 100,000 residents","8E) Equity: White NH",NA,NA,0,1,"61,631","100,000",12,19.4707209
"5","Deaths (White nH)","Ashe","Counties",2010,37009,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 6 and rate was NA","Lowest","Rate per 100,000 residents","8E) Equity: White NH",NA,NA,0,1,"122,707","100,000",27,22.00363467
"6","Deaths (White nH)","Avery","Counties",2010,37011,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Lowest","Rate per 100,000 residents","8E) Equity: White NH",NA,NA,0,1,"80,895","100,000",17,21.01489585
"7","Deaths (White nH)","Beaufort","Counties",2010,37013,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 5 and rate was NA","Lowest","Rate per 100,000 residents","8E) Equity: White NH",NA,NA,0,1,"157,157","100,000",18,11.45351464
"8","Deaths (White nH)","Bertie","Counties",2010,37015,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 1 and rate was NA","Lowest","Rate per 100,000 residents","8E) Equity: White NH",NA,NA,0,1,"34,621","100,000",3,8.665260969
"9","Deaths (White nH)","Bladen","Counties",2010,37017,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 3 and rate was NA","Lowest","Rate per 100,000 residents","8E) Equity: White NH",NA,NA,0,1,"91,680","100,000",22,23.9965096
"10","Deaths (White nH)","Brunswick","Counties",2010,37019,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 23 and rate was NA","Lowest","Rate per 100,000 residents","8E) Equity: White NH",NA,NA,0,1,"424,328","100,000",94,22.15267435
