"","Place","Year","Geoid","Rate.Denom","Value.Count","Value.Rate","FIPS"
"1","Alamance",2010,37001,"138,810",5,3.602045962,1
"2","Alexander",2010,37003,"11,319",1,8.834702712,3
"3","Alleghany",2010,37005,"833",0,0,5
"4","Anson",2010,37007,"61,857",6,9.699791454,7
"5","Ashe",2010,37009,"1,197",0,0,9
"6","Avery",2010,37011,"4,533",0,0,11
"7","Beaufort",2010,37013,"62,511",3,4.799155349,13
"8","Bertie",2010,37015,"61,651",2,3.244067412,15
"9","Bladen",2010,37017,"58,762",1,1.701780062,17
"10","Brunswick",2010,37019,"61,574",3,4.872186312,19
"11","Buncombe",2010,37021,"83,472",6,7.188039103,21
"12","Burke",2010,37023,"30,267",3,9.911785112,23
"13","Cabarrus",2010,37025,"124,543",7,5.620548726,25
"14","Caldwell",2010,37027,"21,661",3,13.8497761,27
"15","Camden",2010,37029,"7,628",0,0,29
"16","Carteret",2010,37031,"23,339",0,0,31
"17","Caswell",2010,37033,"39,884",1,2.507271086,33
"18","Catawba",2010,37035,"66,384",2,3.012774162,35
"19","Chatham",2010,37037,"42,255",2,4.733167672,37
"20","Cherokee",2010,37039,"2,587",0,0,39
"21","Chowan",2010,37041,"26,295",1,3.803004373,41
"22","Clay",2010,37043,"621",0,0,43
"23","Cleveland",2010,37045,"103,131",7,6.78748388,45
"24","Columbus",2010,37047,"84,258",5,5.93415462,47
"25","Craven",2010,37049,"116,885",8,6.844334175,49
"26","Cumberland",2010,37051,"581,558",41,7.050027684,51
"27","Currituck",2010,37053,"8,671",0,0,53
"28","Dare",2010,37055,"5,653",0,0,55
"29","Davidson",2010,37057,"74,564",8,10.72903814,57
"30","Davie",2010,37059,"14,189",1,7.047713017,59
"31","Duplin",2010,37061,"69,688",1,1.434967283,61
"32","Durham",2010,37063,"490,674",51,10.3938664,63
"33","Edgecombe",2010,37065,"151,377",7,4.62421636,65
"34","Forsyth",2010,37067,"448,930",23,5.123293164,67
"35","Franklin",2010,37069,"78,910",3,3.801799518,69
"36","Gaston",2010,37071,"151,256",6,3.966784789,71
"37","Gates",2010,37073,"20,855",0,0,73
"38","Graham",2010,37075,"242",0,0,75
"39","Granville",2010,37077,"95,534",3,3.140243264,77
"40","Greene",2010,37079,"40,887",0,0,79
"41","Guilford",2010,37081,"751,884",40,5.31996957,81
"42","Halifax",2010,37083,"147,457",2,1.356327607,83
"43","Harnett",2010,37085,"123,817",5,4.038217692,85
"44","Haywood",2010,37087,"4,304",0,0,87
"45","Henderson",2010,37089,"17,419",2,11.48171537,89
"46","Hertford",2010,37091,"72,203",2,2.769968007,91
"47","Hoke",2010,37093,"74,764",1,1.337542133,93
"48","Hyde",2010,37095,"9,382",0,0,95
"49","Iredell",2010,37097,"96,576",4,4.141815772,97
"50","Jackson",2010,37099,"4,562",0,0,99
"51","Johnston",2010,37101,"126,491",4,3.16228032,101
"52","Jones",2010,37103,"16,752",0,0,103
"53","Lee",2010,37105,"58,490",1,1.709693965,105
"54","Lenoir",2010,37107,"116,481",6,5.151054678,107
"55","Lincoln",2010,37109,"23,019",0,0,109
"56","Macon",2010,37113,"2,905",0,0,113
"57","Madison",2010,37115,"1,379",1,72.51631617,115
"58","Martin",2010,37117,"52,070",4,7.681966583,117
"59","McDowell",2010,37111,"8,880",0,0,111
"60","Mecklenburg",2010,37119,"1,313,016",45,3.42722404,119
"61","Mitchell",2010,37121,"543",0,0,121
"62","Montgomery",2010,37123,"26,726",0,0,123
"63","Moore",2010,37125,"61,779",3,4.856019036,125
"64","Nash",2010,37127,"173,238",6,3.463443355,127
"65","New Hanover",2010,37129,"152,239",13,8.539204803,129
"66","Northampton",2010,37131,"60,666",3,4.945109287,131
"67","Onslow",2010,37133,"147,478",4,2.712268949,133
"68","Orange",2010,37135,"86,259",4,4.637197278,135
"69","Pamlico",2010,37137,"14,022",0,0,137
"70","Pasquotank",2010,37139,"78,869",5,6.339626469,139
"71","Pender",2010,37141,"48,251",1,2.072495907,141
"72","Perquimans",2010,37143,"16,262",2,12.29861026,143
"73","Person",2010,37145,"53,105",5,9.415309293,145
"74","Pitt",2010,37147,"267,555",9,3.36379436,147
"75","Polk",2010,37149,"5,154",1,19.4024059,149
"76","Randolph",2010,37151,"41,481",3,7.232226803,151
"77","Richmond",2010,37153,"71,053",2,2.81480022,153
"78","Robeson",2010,37155,"155,905",6,3.848497482,155
"79","Rockingham",2010,37157,"89,129",4,4.487877122,157
"80","Rowan",2010,37159,"108,980",4,3.670398238,159
"81","Rutherford",2010,37161,"35,560",3,8.436445444,161
"82","Sampson",2010,37163,"88,379",9,10.18341461,163
"83","Scotland",2010,37165,"69,736",3,4.30193874,165
"84","Stanly",2010,37167,"34,910",1,2.864508737,167
"85","Stokes",2010,37169,"11,195",0,0,169
"86","Surry",2010,37171,"14,828",1,6.743997842,171
"87","Swain",2010,37173,"1,108",0,0,173
"88","Transylvania",2010,37175,"7,991",0,0,175
"89","Tyrrell",2010,37177,"8,380",0,0,177
"90","Union",2010,37179,"115,750",5,4.319654428,179
"91","Vance",2010,37181,"107,098",6,5.602345515,181
"92","Wake",2010,37183,"882,771",36,4.078067811,183
"93","Warren",2010,37185,"52,958",4,7.553155331,185
"94","Washington",2010,37187,"32,459",1,3.080809637,187
"95","Watauga",2010,37189,"4,838",0,0,189
"96","Wayne",2010,37191,"187,718",5,2.663569823,191
"97","Wilkes",2010,37193,"14,442",2,13.84849744,193
"98","Wilson",2010,37195,"152,455",5,3.279656292,195
"99","Yadkin",2010,37197,"6,594",1,15.16530179,197
"100","Yancey",2010,37199,"965",0,0,199
"101","Alamance",2015,37001,"150,081",9,5.996761749,1
"102","Alexander",2015,37003,"11,233",0,0,3
"103","Alleghany",2015,37005,"1,000",0,0,5
"104","Anson",2015,37007,"63,994",2,3.125292996,7
"105","Ashe",2015,37009,"1,318",0,0,9
"106","Avery",2015,37011,"3,982",0,0,11
"107","Beaufort",2015,37013,"60,392",3,4.96754537,13
"108","Bertie",2015,37015,"63,332",2,3.15796122,15
"109","Bladen",2015,37017,"60,391",0,0,17
"110","Brunswick",2015,37019,"66,679",5,7.498612757,19
"111","Buncombe",2015,37021,"84,746",4,4.719986784,21
"112","Burke",2015,37023,"31,311",4,12.77506308,23
"113","Cabarrus",2015,37025,"154,390",12,7.772524127,25
"114","Caldwell",2015,37027,"21,660",3,13.85041551,27
"115","Camden",2015,37029,"6,873",0,0,29
"116","Carteret",2015,37031,"22,387",1,4.466878099,31
"117","Caswell",2015,37033,"39,370",0,0,33
"118","Catawba",2015,37035,"69,427",6,8.642170913,35
"119","Chatham",2015,37037,"44,321",5,11.28133391,37
"120","Cherokee",2015,37039,"2,478",1,40.3551251,39
"121","Chowan",2015,37041,"25,306",1,3.951632024,41
"122","Clay",2015,37043,"707",0,0,43
"123","Cleveland",2015,37045,"103,072",9,8.731760323,45
"124","Columbus",2015,37047,"87,601",4,4.566157921,47
"125","Craven",2015,37049,"116,099",17,14.64267565,49
"126","Cumberland",2015,37051,"610,063",41,6.720617379,51
"127","Currituck",2015,37053,"7,696",1,12.99376299,53
"128","Dare",2015,37055,"5,477",1,18.25817053,55
"129","Davidson",2015,37057,"76,926",5,6.499753009,57
"130","Davie",2015,37059,"14,170",0,0,59
"131","Duplin",2015,37061,"75,378",4,5.306588129,61
"132","Durham",2015,37063,"550,141",53,9.633893856,63
"133","Edgecombe",2015,37065,"159,401",9,5.646137728,65
"134","Forsyth",2015,37067,"474,494",34,7.16552791,67
"135","Franklin",2015,37069,"83,205",1,1.20185085,69
"136","Gaston",2015,37071,"167,251",7,4.185326246,71
"137","Gates",2015,37073,"19,814",2,10.09387302,73
"138","Graham",2015,37075,"372",0,0,75
"139","Granville",2015,37077,"95,951",6,6.253191733,77
"140","Greene",2015,37079,"38,842",1,2.574532722,79
"141","Guilford",2015,37081,"855,617",50,5.843736158,81
"142","Halifax",2015,37083,"142,234",13,9.139868105,83
"143","Harnett",2015,37085,"134,800",4,2.96735905,85
"144","Haywood",2015,37087,"4,233",0,0,87
"145","Henderson",2015,37089,"19,755",4,20.24803847,89
"146","Hertford",2015,37091,"73,419",3,4.086135741,91
"147","Hoke",2015,37093,"87,477",2,2.28631526,93
"148","Hyde",2015,37095,"8,762",0,0,95
"149","Iredell",2015,37097,"102,099",10,9.794415224,97
"150","Jackson",2015,37099,"5,026",0,0,99
"151","Johnston",2015,37101,"139,371",8,5.740075051,101
"152","Jones",2015,37103,"16,235",0,0,103
"153","Lee",2015,37105,"59,377",5,8.420768985,105
"154","Lenoir",2015,37107,"120,150",11,9.155222638,107
"155","Lincoln",2015,37109,"23,427",2,8.53715798,109
"156","Macon",2015,37113,"3,069",0,0,113
"157","Madison",2015,37115,"1,909",0,0,115
"158","Martin",2015,37117,"51,518",2,3.882138282,117
"159","McDowell",2015,37111,"9,409",1,10.62812201,111
"160","Mecklenburg",2015,37119,"1,557,486",84,5.393306906,119
"161","Mitchell",2015,37121,"655",0,0,121
"162","Montgomery",2015,37123,"25,951",0,0,123
"163","Moore",2015,37125,"62,047",6,9.670088804,125
"164","Nash",2015,37127,"185,781",10,5.38268176,127
"165","New Hanover",2015,37129,"157,312",18,11.44222946,129
"166","Northampton",2015,37131,"61,388",1,1.628982863,131
"167","Onslow",2015,37133,"149,493",6,4.013565853,133
"168","Orange",2015,37135,"86,281",6,6.954022322,135
"169","Pamlico",2015,37137,"13,314",4,30.04356317,137
"170","Pasquotank",2015,37139,"76,330",3,3.930302633,139
"171","Pender",2015,37141,"48,396",3,6.19885941,141
"172","Perquimans",2015,37143,"16,757",0,0,143
"173","Person",2015,37145,"54,010",5,9.257544899,145
"174","Pitt",2015,37147,"302,669",14,4.625515002,147
"175","Polk",2015,37149,"4,967",0,0,149
"176","Randolph",2015,37151,"44,533",4,8.982103159,151
"177","Richmond",2015,37153,"72,220",8,11.07726392,153
"178","Robeson",2015,37155,"166,821",8,4.795559312,155
"179","Rockingham",2015,37157,"88,986",3,3.371316836,157
"180","Rowan",2015,37159,"113,485",8,7.049389787,159
"181","Rutherford",2015,37161,"34,947",4,11.4459038,161
"182","Sampson",2015,37163,"85,277",4,4.690596527,163
"183","Scotland",2015,37165,"70,351",2,2.842887805,165
"184","Stanly",2015,37167,"34,909",2,5.729181586,167
"185","Stokes",2015,37169,"10,260",0,0,169
"186","Surry",2015,37171,"14,536",2,13.75894331,171
"187","Swain",2015,37173,"1,217",0,0,173
"188","Transylvania",2015,37175,"7,515",1,13.30671989,175
