"","Place","Year","Geoid","Rate.Denom","Value.Count","Value.Rate","FIPS"
"1","Alamance",2010,37001,"504,941",80,15.84343517,1
"2","Alexander",2010,37003,"162,562",48,29.52719578,3
"3","Alleghany",2010,37005,"48,808",10,20.48844452,5
"4","Anson",2010,37007,"61,631",12,19.4707209,7
"5","Ashe",2010,37009,"122,707",27,22.00363467,9
"6","Avery",2010,37011,"80,895",17,21.01489585,11
"7","Beaufort",2010,37013,"157,157",18,11.45351464,13
"8","Bertie",2010,37015,"34,621",3,8.665260969,15
"9","Bladen",2010,37017,"91,680",22,23.9965096,17
"10","Brunswick",2010,37019,"424,328",94,22.15267435,19
"11","Buncombe",2010,37021,"993,430",119,11.97870006,21
"12","Burke",2010,37023,"375,541",111,29.55735858,23
"13","Cabarrus",2010,37025,"620,411",100,16.11834735,25
"14","Caldwell",2010,37027,"359,618",83,23.08004605,27
"15","Camden",2010,37029,"38,733",8,20.6542225,29
"16","Carteret",2010,37031,"285,412",56,19.62075876,31
"17","Caswell",2010,37033,"72,905",13,17.83142446,33
"18","Catawba",2010,37035,"617,538",119,19.27006921,35
"19","Chatham",2010,37037,"224,809",19,8.45161893,37
"20","Cherokee",2010,37039,"125,556",40,31.85829431,39
"21","Chowan",2010,37041,"45,152",4,8.858965273,41
"22","Clay",2010,37043,"49,571",16,32.27693611,43
"23","Cleveland",2010,37045,"372,832",79,21.18916831,45
"24","Columbus",2010,37047,"170,565",51,29.9006244,47
"25","Craven",2010,37049,"344,368",54,15.6808995,49
"26","Cumberland",2010,37051,"805,968",117,14.51670538,51
"27","Currituck",2010,37053,"106,447",14,13.15208508,53
"28","Dare",2010,37055,"156,020",23,14.74169978,55
"29","Davidson",2010,37057,"656,192",117,17.83014727,57
"30","Davie",2010,37059,"175,508",29,16.52346332,59
"31","Duplin",2010,37061,"141,965",14,9.861585602,61
"32","Durham",2010,37063,"594,993",69,11.59677509,63
"33","Edgecombe",2010,37065,"102,398",14,13.67214203,65
"34","Forsyth",2010,37067,"1,084,264",161,14.84878222,67
"35","Franklin",2010,37069,"189,537",28,14.77284119,69
"36","Gaston",2010,37071,"796,318",220,27.62715398,71
"37","Gates",2010,37073,"36,744",2,5.443065535,73
"38","Graham",2010,37075,"36,724",8,21.78411938,75
"39","Granville",2010,37077,"167,049",21,12.57116176,77
"40","Greene",2010,37079,"48,849",5,10.23562407,79
"41","Guilford",2010,37081,"1,364,468",178,13.04537739,81
"42","Halifax",2010,37083,"111,642",14,12.54008348,83
"43","Harnett",2010,37085,"370,812",51,13.75360021,85
"44","Haywood",2010,37087,"272,393",50,18.35583146,87
"45","Henderson",2010,37089,"443,407",73,16.46342976,89
"46","Hertford",2010,37091,"41,073",5,12.17344728,91
"47","Hoke",2010,37093,"95,607",9,9.413536666,93
"48","Hyde",2010,37095,"16,066",2,12.44864932,95
"49","Iredell",2010,37097,"612,869",108,17.62203668,97
"50","Jackson",2010,37099,"155,829",26,16.68495595,99
"51","Johnston",2010,37101,"580,801",63,10.84708876,101
"52","Jones",2010,37103,"31,143",4,12.84397778,103
"53","Lee",2010,37105,"181,652",33,18.16660428,105
"54","Lenoir",2010,37107,"152,209",20,13.13982747,107
"55","Lincoln",2010,37109,"317,160",59,18.60259806,109
"56","Macon",2010,37113,"154,418",39,25.25612299,113
"57","Madison",2010,37115,"98,045",15,15.29909735,115
"58","Martin",2010,37117,"62,230",14,22.49718785,117
"59","McDowell",2010,37111,"197,436",48,24.31167568,111
"60","Mecklenburg",2010,37119,"2,425,371",236,9.730470101,119
"61","Mitchell",2010,37121,"74,329",19,25.56202828,121
"62","Montgomery",2010,37123,"87,198",11,12.61496823,123
"63","Moore",2010,37125,"335,764",43,12.80661417,125
"64","Nash",2010,37127,"266,786",22,8.246309776,127
"65","New Hanover",2010,37129,"762,184",141,18.49946994,129
"66","Northampton",2010,37131,"41,599",1,2.40390394,131
"67","Onslow",2010,37133,"606,217",80,13.19659462,133
