"Measure","Place","Place.Type","Year","Geoid","Max.Month","Measure.Desc.Short","Measure.Type","measure_axis_label","no_definition","Notes","Quantile","rate_label","Strategy","wip_definition","yes_definition","n_missing","Number.of.Records","Rate.Denom","rate_mult","Value.Count","Value.Rate"
"Deaths (AI/AN)","Alamance","Counties",2010,37001,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,2420,100000,0,0
"Deaths (AI/AN)","Alexander","Counties",2010,37003,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,368,100000,0,0
"Deaths (AI/AN)","Alleghany","Counties",2010,37005,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,90,100000,0,0
"Deaths (AI/AN)","Anson","Counties",2010,37007,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,716,100000,1,140
"Deaths (AI/AN)","Ashe","Counties",2010,37009,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,227,100000,0,0
"Deaths (AI/AN)","Avery","Counties",2010,37011,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,250,100000,0,0
"Deaths (AI/AN)","Beaufort","Counties",2010,37013,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,421,100000,0,0
"Deaths (AI/AN)","Bertie","Counties",2010,37015,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,378,100000,0,0
"Deaths (AI/AN)","Bladen","Counties",2010,37017,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,3548,100000,0,0
"Deaths (AI/AN)","Brunswick","Counties",2010,37019,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,3181,100000,0,0
"Deaths (AI/AN)","Buncombe","Counties",2010,37021,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,4646,100000,1,22
"Deaths (AI/AN)","Burke","Counties",2010,37023,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,1247,100000,0,0
"Deaths (AI/AN)","Cabarrus","Counties",2010,37025,12,"Drug overdose deaths among NC Residents (ICD-10), all intents","metric","Number of deaths",NA,"Annual count was 0 and rate was NA","Lowest","Rate per 100,000 residents","8A) Equity: AI/AN NH",NA,NA,0,1,2853,100000,0,0
