County,Year,countyFIPS,Population,Deaths,Treatment
Adams,2007,39001,28538,1,24
Allen,2007,39003,106717,3,12
Ashland,2007,39005,53544,2,33
Ashtabula,2007,39007,102156,3,48
Athens,2007,39009,64102,6,86
Auglaize,2007,39011,45977,2,20
Belmont,2007,39013,70430,0,31
Brown,2007,39015,44490,4,44
Butler,2007,39017,361192,32,198
Carroll,2007,39019,29062,0,15
Champaign,2007,39021,40127,1,22
Clark,2007,39023,139829,13,249
Clermont,2007,39025,194346,33,156
Clinton,2007,39027,42576,0,37
Columbiana,2007,39029,109153,5,89
Coshocton,2007,39031,37184,1,11
Crawford,2007,39033,44634,2,43
Cuyahoga,2007,39035,1301540,85,1796
Darke,2007,39037,52996,3,19
Defiance,2007,39039,39123,1,10
Delaware,2007,39041,161796,3,49
Erie,2007,39043,77668,1,46
Fairfield,2007,39045,142915,9,148
Fayette,2007,39047,28908,4,39
Franklin,2007,39049,1127174,85,1319
Fulton,2007,39051,42800,0,15
Gallia,2007,39053,30977,0,51
Geauga,2007,39055,93742,2,52
Greene,2007,39057,159055,4,177
Guernsey,2007,39059,40531,1,41
Hamilton,2007,39061,801815,66,555
Hancock,2007,39063,74712,0,16
Hardin,2007,39065,32132,3,26
Harrison,2007,39067,15901,0,14
Henry,2007,39069,28671,0,6
Highland,2007,39071,43845,3,21
Hocking,2007,39073,29418,5,20
Holmes,2007,39075,41826,1,8
Huron,2007,39077,60086,5,72
Jackson,2007,39079,33144,2,52
Jefferson,2007,39081,70114,1,67
Knox,2007,39083,59843,3,46
Lake,2007,39085,228930,20,115
Lawrence,2007,39087,62748,2,93
Licking,2007,39089,162375,5,77
Logan,2007,39091,46154,1,33
Lorain,2007,39093,298609,6,209
Lucas,2007,39095,445482,21,314
Madison,2007,39097,42392,2,47
Mahoning,2007,39099,243453,14,363
Marion,2007,39101,66487,4,58
Medina,2007,39103,168775,7,80
Meigs,2007,39105,23612,0,18
Mercer,2007,39107,41055,0,25
Miami,2007,39109,102130,7,59
Monroe,2007,39111,14774,0,9
Montgomery,2007,39113,540667,74,1013
Morgan,2007,39115,15175,1,17
Morrow,2007,39117,34937,1,24
Muskingum,2007,39119,85939,2,38
Noble,2007,39121,14614,0,4
Ottawa,2007,39123,41690,2,11
Paulding,2007,39125,19735,0,7
Perry,2007,39127,35582,1,13
Pickaway,2007,39129,55044,1,51
Pike,2007,39131,28645,3,60
Portage,2007,39133,159148,2,101
Preble,2007,39135,42561,3,17
Putnam,2007,39137,34752,0,10
Richland,2007,39139,126995,3,114
Ross,2007,39141,77419,10,69
Sandusky,2007,39143,61571,2,37
Scioto,2007,39145,78775,12,188
Seneca,2007,39147,57289,1,16
Shelby,2007,39149,49284,1,28
Stark,2007,39151,376877,5,266
Summit,2007,39153,544275,31,902
Trumbull,2007,39155,214296,31,184
Tuscarawas,2007,39157,92511,0,33
Union,2007,39159,49906,2,20
Van Wert,2007,39161,29182,1,11
Vinton,2007,39163,13566,2,28
Warren,2007,39165,205258,8,130
Washington,2007,39167,62253,1,36
Wayne,2007,39169,114224,0,51
Williams,2007,39171,38532,0,12
Wood,2007,39173,125285,0,31
Wyandot,2007,39175,22716,0,7
Adams,2008,39001,28686,1,27
Allen,2008,39003,106773,1,27
Ashland,2008,39005,53499,1,69
Ashtabula,2008,39007,101826,2,82
Athens,2008,39009,64546,1,101
Auglaize,2008,39011,46167,3,12
Belmont,2008,39013,70356,4,46
Brown,2008,39015,44668,3,52
Butler,2008,39017,364179,40,290
Carroll,2008,39019,28999,2,25
Champaign,2008,39021,40263,0,33
Clark,2008,39023,139404,13,319
Clermont,2008,39025,195891,32,182
Clinton,2008,39027,42656,5,55
Columbiana,2008,39029,108469,4,140
Coshocton,2008,39031,36953,2,10
Crawford,2008,39033,44291,2,68
Cuyahoga,2008,39035,1291479,111,1775
Darke,2008,39037,52909,2,14
Defiance,2008,39039,39250,0,11
Delaware,2008,39041,166652,6,54
Erie,2008,39043,77573,3,42
Fairfield,2008,39045,144029,3,206
Fayette,2008,39047,28896,1,26
Franklin,2008,39049,1141183,88,1585
Fulton,2008,39051,42780,1,41
Gallia,2008,39053,30997,2,57
Geauga,2008,39055,93583,5,56
Greene,2008,39057,160115,15,183
Guernsey,2008,39059,40347,0,53
Hamilton,2008,39061,799840,84,654
Hancock,2008,39063,74781,0,27
