Measure,Place,Place Type,Year,Geoid,Max Month,Measure Desc Short,Measure Type,measure_axis_label,no_definition,Notes,Quantile,rate_label,Strategy,wip_definition,yes_definition,n_missing,Number of Records,Rate Denom,rate_mult,Value Count,Value Rate
Deaths (AI/AN),Alamance,Counties,2015,37001,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8A) Equity: AI/AN NH,NA,NA,0,1,3118,100000,0,0
Deaths (AI/AN),Alexander,Counties,2015,37003,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8A) Equity: AI/AN NH,NA,NA,0,1,450,100000,0,0
Deaths (AI/AN),Alleghany,Counties,2015,37005,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8A) Equity: AI/AN NH,NA,NA,0,1,104,100000,0,0
Deaths (AI/AN),Anson,Counties,2015,37007,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8A) Equity: AI/AN NH,NA,NA,0,1,804,100000,0,0
Deaths (AI/AN),Ashe,Counties,2015,37009,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8A) Equity: AI/AN NH,NA,NA,0,1,295,100000,0,0
Deaths (AI/AN),Avery,Counties,2015,37011,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8A) Equity: AI/AN NH,NA,NA,0,1,317,100000,0,0
Deaths (AI/AN),Beaufort,Counties,2015,37013,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8A) Equity: AI/AN NH,NA,NA,0,1,652,100000,0,0
Deaths (AI/AN),Bertie,Counties,2015,37015,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8A) Equity: AI/AN NH,NA,NA,0,1,487,100000,0,0
Deaths (AI/AN),Bladen,Counties,2015,37017,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8A) Equity: AI/AN NH,NA,NA,0,1,3955,100000,0,0
Deaths (AI/AN),Brunswick,Counties,2015,37019,12,"Drug overdose deaths among NC Residents (ICD-10), all intents",metric,Number of deaths,NA,Annual count was 0 and rate was NA,Lowest,"Rate per 100,000 residents",8A) Equity: AI/AN NH,NA,NA,0,1,3992,100000,1,25
