Year,Year Code,County,CountyName,County Code,Deaths,Population,Crude Rate
2007,2007,Alamance  ,Alamance,37001,1411,144712,975
2007,2007,Alexander  ,Alexander,37003,322,36609,879.6
2007,2007,Alleghany  ,Alleghany,37005,137,11061,1238.6
2007,2007,Anson  ,Anson,37007,290,26664,1087.6
2007,2007,Ashe  ,Ashe,37009,296,26506,1116.7
2007,2007,Avery  ,Avery,37011,173,17949,963.8
2007,2007,Beaufort  ,Beaufort,37013,489,46702,1047.1
2007,2007,Bertie  ,Bertie,37015,244,20927,1166
2007,2007,Bladen  ,Bladen,37017,374,34285,1090.9
2007,2007,Brunswick  ,Brunswick,37019,901,99008,910
2007,2007,Buncombe  ,Buncombe,37021,2301,230766,997.1
2007,2007,Burke  ,Burke,37023,833,90146,924.1
2007,2007,Cabarrus  ,Cabarrus,37025,1251,165717,754.9
2007,2007,Caldwell  ,Caldwell,37027,765,81588,937.6
2007,2007,Camden  ,Camden,37029,84,9570,877.7
2007,2007,Carteret  ,Carteret,37031,641,64258,997.5
2007,2007,Caswell  ,Caswell,37033,230,23914,961.8
2007,2007,Catawba  ,Catawba,37035,1408,152448,923.6
2007,2007,Chatham  ,Chatham,37037,575,60054,957.5
2007,2007,Cherokee  ,Cherokee,37039,335,27350,1224.9
2007,2007,Chowan  ,Chowan,37041,171,14953,1143.6
2007,2007,Clay  ,Clay,37043,110,10356,1062.2
2007,2007,Cleveland  ,Cleveland,37045,1050,97524,1076.7
2007,2007,Columbus  ,Columbus,37047,682,55964,1218.6
2007,2007,Craven  ,Craven,37049,938,97825,958.9
2007,2007,Cumberland  ,Cumberland,37051,2059,308284,667.9
2007,2007,Currituck  ,Currituck,37053,193,23216,831.3
2007,2007,Dare  ,Dare,37055,274,33541,816.9
2007,2007,Davidson  ,Davidson,37057,1474,159126,926.3
2007,2007,Davie  ,Davie,37059,356,40260,884.3
2007,2007,Duplin  ,Duplin,37061,507,55610,911.7
2007,2007,Durham  ,Durham,37063,1714,252796,678
2007,2007,Edgecombe  ,Edgecombe,37065,606,55911,1083.9
2007,2007,Forsyth  ,Forsyth,37067,2835,338638,837.2
2007,2007,Franklin  ,Franklin,37069,485,57174,848.3
2007,2007,Gaston  ,Gaston,37071,2039,200377,1017.6
2007,2007,Gates  ,Gates,37073,127,12042,1054.6
2007,2007,Graham  ,Graham,37075,81,8583,943.7
2007,2007,Granville  ,Granville,37077,517,57356,901.4
2007,2007,Greene  ,Greene,37079,183,21178,864.1
2007,2007,Guilford  ,Guilford,37081,3637,468466,776.4
2007,2007,Halifax  ,Halifax,37083,681,55616,1224.5
2007,2007,Harnett  ,Harnett,37085,792,105770,748.8
2007,2007,Haywood  ,Haywood,37087,689,58386,1180.1
2007,2007,Henderson  ,Henderson,37089,1286,102270,1257.5
2007,2007,Hertford  ,Hertford,37091,282,24240,1163.4
2007,2007,Hoke  ,Hoke,37093,291,42496,684.8
2007,2007,Hyde  ,Hyde,37095,72,5639,1276.8
2007,2007,Iredell  ,Iredell,37097,1270,151944,835.8
2007,2007,Jackson  ,Jackson,37099,354,38404,921.8
2007,2007,Johnston  ,Johnston,37101,1074,155695,689.8
2007,2007,Jones  ,Jones,37103,123,10035,1225.7
2007,2007,Lee  ,Lee,37105,512,54106,946.3
2007,2007,Lenoir  ,Lenoir,37107,691,59072,1169.8
2007,2007,Lincoln  ,Lincoln,37109,635,74139,856.5
2007,2007,McDowell  ,McDowell,37111,431,44345,971.9
2007,2007,Macon  ,Macon,37113,441,33164,1329.8
2007,2007,Madison  ,Madison,37115,251,20420,1229.2
2007,2007,Martin  ,Martin,37117,315,24391,1291.5
2007,2007,Mecklenburg  ,Mecklenburg,37119,5004,862177,580.4
2007,2007,Mitchell  ,Mitchell,37121,193,15746,1225.7
2007,2007,Montgomery  ,Montgomery,37123,239,27490,869.4
2007,2007,Moore  ,Moore,37125,1002,84795,1181.7
2007,2007,Nash  ,Nash,37127,914,93733,975.1
2007,2007,New Hanover  ,New Hanover,37129,1566,194339,805.8
2007,2007,Northampton  ,Northampton,37131,288,22293,1291.9
2007,2007,Onslow  ,Onslow,37133,829,163256,507.8
2007,2007,Orange  ,Orange,37135,732,127193,575.5
2007,2007,Pamlico  ,Pamlico,37137,159,13013,1221.9
2007,2007,Pasquotank  ,Pasquotank,37139,359,40049,896.4
2007,2007,Pender  ,Pender,37141,454,49181,923.1
2007,2007,Perquimans  ,Perquimans,37143,137,12901,1061.9
2007,2007,Person  ,Person,37145,430,38656,1112.4
2007,2007,Pitt  ,Pitt,37147,1103,157479,700.4
2007,2007,Polk  ,Polk,37149,299,20145,1484.2
2007,2007,Randolph  ,Randolph,37151,1267,138855,912.5
2007,2007,Richmond  ,Richmond,37153,526,46390,1133.9
2007,2007,Robeson  ,Robeson,37155,1218,130453,933.7
2007,2007,Rockingham  ,Rockingham,37157,1066,93164,1144.2
2007,2007,Rowan  ,Rowan,37159,1345,135626,991.7
2007,2007,Rutherford  ,Rutherford,37161,831,66305,1253.3
2007,2007,Sampson  ,Sampson,37163,635,62539,1015.4
2007,2007,Scotland  ,Scotland,37165,384,36399,1055
2007,2007,Stanly  ,Stanly,37167,568,59849,949.1
2007,2007,Stokes  ,Stokes,37169,468,47079,994.1
2007,2007,Surry  ,Surry,37171,817,73027,1118.8
2007,2007,Swain  ,Swain,37173,190,13819,1374.9
2007,2007,Transylvania  ,Transylvania,37175,384,32061,1197.7
2007,2007,Tyrrell  ,Tyrrell,37177,33,4402,749.7
2007,2007,Union  ,Union,37179,1021,184782,552.5
2007,2007,Vance  ,Vance,37181,452,44676,1011.7
2007,2007,Wake  ,Wake,37183,4031,821607,490.6
2007,2007,Warren  ,Warren,37185,235,20724,1134
2007,2007,Washington  ,Washington,37187,170,13176,1290.2
2007,2007,Watauga  ,Watauga,37189,278,48765,570.1
