Year,County,CountyName,countyFIPS,Deaths,Population,CrudeRate
2007,Albany,Albany,36001,2666,303858,877.4
2007,Allegany ,Allegany,36003,478,49079,973.9
2007,Bronx ,Bronx,36005,9174,1354056,677.5
2007,Broome ,Broome,36007,2057,200877,1024
2007,Cattaraugus ,Cattaraugus,36009,784,81056,967.2
2007,Cayuga ,Cayuga,36011,680,80629,843.4
2007,Chautauqua ,Chautauqua,36013,1407,135481,1038.5
2007,Chemung ,Chemung,36015,946,88634,1067.3
2007,Chenango ,Chenango,36017,570,51463,1107.6
2007,Clinton ,Clinton,36019,677,82556,820
2007,Columbia ,Columbia,36021,638,63430,1005.8
2007,Cortland ,Cortland,36023,417,49624,840.3
2007,Delaware ,Delaware,36025,576,48450,1188.9
2007,Dutchess ,Dutchess,36027,2206,295319,747
2007,Erie ,Erie,36029,9515,921887,1032.1
2007,Essex ,Essex,36031,398,39373,1010.8
2007,Franklin ,Franklin,36033,419,51782,809.2
2007,Fulton ,Fulton,36035,544,55489,980.4
2007,Genesee ,Genesee,36037,593,59930,989.5
2007,Greene ,Greene,36039,541,49537,1092.1
2007,Hamilton ,Hamilton,36041,61,4969,1227.6
2007,Herkimer ,Herkimer,36043,674,64343,1047.5
2007,Jefferson ,Jefferson,36045,860,115059,747.4
2007,Kings ,Kings,36047,16410,2441324,672.2
2007,Lewis ,Lewis,36049,226,27086,834.4
2007,Livingston ,Livingston,36051,496,65460,757.7
2007,Madison ,Madison,36053,571,72709,785.3
2007,Monroe ,Monroe,36055,6196,739249,838.1
2007,Montgomery ,Montgomery,36057,611,49798,1227
2007,Nassau ,Nassau,36059,10466,1322048,791.7
2007,New York ,New York,36061,10106,1581402,639.1
2007,Niagara ,Niagara,36063,2323,215791,1076.5
2007,Oneida ,Oneida,36065,2486,234488,1060.2
2007,Onondaga ,Onondaga,36067,3967,461287,860
2007,Ontario ,Ontario,36069,891,105216,846.8
2007,Orange ,Orange,36071,2547,368464,691.2
2007,Orleans ,Orleans,36073,351,43342,809.8
2007,Oswego ,Oswego,36075,1022,122213,836.2
2007,Otsego ,Otsego,36077,556,62914,883.7
2007,Putnam ,Putnam,36079,578,99454,581.2
2007,Queens ,Queens,36081,14526,2177351,667.1
