Year,County,CountyName, Code,Deaths,Population,Crude Rate
2007,Adams,Adams,39001 ,298 ,28538 ,1044 
2007,Allen,Allen,39003 ,1031 ,106717 ,966 
2007,Ashland ,Ashland,39005 ,477 ,53544 ,891 
2007,Ashtabula,Ashtabula,39007 ,1118 ,102156 ,1094 
2007,Athens,Athens,39009 ,473 ,64102 ,738 
2007,Auglaize ,Auglaize,39011 ,512 ,45977 ,1114 
2007,Belmont ,Belmont,39013 ,904 ,70430 ,1284 
2007,Brown ,Brown,39015 ,431 ,44490 ,969 
2007,Butler ,Butler,39017 ,2892 ,361192 ,801 
2007,Carroll ,Carroll,39019 ,261 ,29062 ,898 
2007,Champaign ,Champaign,39021 ,402 ,40127 ,1002 
2007,Clark ,Clark,39023 ,1645 ,139829 ,1176 
2007,Clermont ,Clermont,39025 ,1356 ,194346 ,698 
2007,Clinton ,Clinton,39027 ,354 ,42576 ,832 
2007,Columbiana ,Columbiana,39029 ,1143 ,109153 ,1047 
2007,Coshocton ,Coshocton,39031 ,373 ,37184 ,1003 
2007,Crawford ,Crawford,39033 ,517 ,44634 ,1158 
2007,Cuyahoga ,Cuyahoga,39035 ,13807 ,1301540 ,1061 
2007,Darke ,Darke,39037 ,565 ,52996 ,1066 
2007,Defiance ,Defiance,39039 ,332 ,39123 ,849 
2007,Delaware ,Delaware,39041 ,755 ,161796 ,467 
2007,Erie ,Erie,39043 ,859 ,77668 ,1106 
2007,Fairfield ,Fairfield,39045 ,1067 ,142915 ,747 
2007,Fayette ,Fayette,39047 ,322 ,28908 ,1114 
2007,Franklin ,Franklin,39049 ,8245 ,1127174 ,732 
2007,Fulton ,Fulton,39051 ,373 ,42800 ,872 
2007,Gallia ,Gallia,39053 ,340 ,30977 ,1098 
2007,Geauga ,Geauga,39055 ,700 ,93742 ,747 
2007,Greene ,Greene,39057 ,1174 ,159055 ,738 
2007,Guernsey ,Guernsey,39059 ,410 ,40531 ,1012 
2007,Hamilton ,Hamilton,39061 ,7764 ,801815 ,968 
2007,Hancock ,Hancock,39063 ,577 ,74712 ,772 
2007,Hardin ,Hardin,39065 ,296 ,32132 ,921 
2007,Harrison ,Harrison,39067 ,201 ,15901 ,1264 
2007,Henry ,Henry,39069 ,288 ,28671 ,1005 
2007,Highland ,Highland,39071 ,417 ,43845 ,951 
2007,Hocking ,Hocking,39073 ,307 ,29418 ,1044 
2007,Holmes ,Holmes,39075 ,256 ,41826 ,612 
2007,Huron ,Huron,39077 ,522 ,60086 ,869 
2007,Jackson ,Jackson,39079 ,358 ,33144 ,1080 
2007,Jefferson ,Jefferson,39081 ,1009 ,70114 ,1439 
2007,Knox ,Knox,39083 ,543 ,59843 ,907 
2007,Lake ,Lake,39085 ,2090 ,228930 ,913 
2007,Lawrence ,Lawrence,39087 ,727 ,62748 ,1159 
2007,Licking ,Licking,39089 ,1298 ,162375 ,799 
2007,Logan ,Logan,39091 ,425 ,46154 ,921 
