Year,County, Code,Deaths,Population,Crude Rate
2007,Adams ,39001,298,28538,1044.2
2007,Allen ,39003,1031,106717,966.1
2007,Ashland ,39005,477,53544,890.9
2007,Ashtabula ,39007,1118,102156,1094.4
2007,Athens ,39009,473,64102,737.9
2007,Auglaize ,39011,512,45977,1113.6
2007,Belmont ,39013,904,70430,1283.5
2007,Brown ,39015,431,44490,968.8
2007,Butler ,39017,2892,361192,800.7
2007,Carroll ,39019,261,29062,898.1
2007,Champaign ,39021,402,40127,1001.8
2007,Clark ,39023,1645,139829,1176.4
2007,Clermont ,39025,1356,194346,697.7
2007,Clinton ,39027,354,42576,831.5
2007,Columbiana ,39029,1143,109153,1047.2
2007,Coshocton ,39031,373,37184,1003.1
2007,Crawford ,39033,517,44634,1158.3
2007,Cuyahoga ,39035,13807,1301540,1060.8
2007,Darke ,39037,565,52996,1066.1
2007,Defiance ,39039,332,39123,848.6
2007,Delaware ,39041,755,161796,466.6
2007,Erie ,39043,859,77668,1106
2007,Fairfield ,39045,1067,142915,746.6
2007,Fayette ,39047,322,28908,1113.9
2007,Franklin ,39049,8245,1127174,731.5
2007,Fulton ,39051,373,42800,871.5
2007,Gallia ,39053,340,30977,1097.6
2007,Geauga ,39055,700,93742,746.7
2007,Greene ,39057,1174,159055,738.1
2007,Guernsey ,39059,410,40531,1011.6
2007,Hamilton ,39061,7764,801815,968.3
2007,Hancock ,39063,577,74712,772.3
2007,Hardin ,39065,296,32132,921.2
2007,Harrison ,39067,201,15901,1264.1
2007,Henry ,39069,288,28671,1004.5
2007,Highland ,39071,417,43845,951.1
2007,Hocking ,39073,307,29418,1043.6
2007,Holmes ,39075,256,41826,612.1
2007,Huron ,39077,522,60086,868.8
2007,Jackson ,39079,358,33144,1080.1
2007,Jefferson ,39081,1009,70114,1439.1
2007,Knox ,39083,543,59843,907.4
2007,Lake ,39085,2090,228930,912.9
2007,Lawrence ,39087,727,62748,1158.6
2007,Licking ,39089,1298,162375,799.4
2007,Logan ,39091,425,46154,920.8
2007,Lorain ,39093,2577,298609,863
2007,Lucas ,39095,4263,445482,956.9
2007,Madison ,39097,378,42392,891.7
2007,Mahoning ,39099,2998,243453,1231.4
2007,Marion ,39101,693,66487,1042.3
2007,Medina ,39103,1201,168775,711.6
2007,Meigs ,39105,264,23612,1118.1
2007,Mercer ,39107,385,41055,937.8
2007,Miami ,39109,912,102130,893
2007,Monroe ,39111,153,14774,1035.6
2007,Montgomery ,39113,5373,540667,993.8
2007,Morgan ,39115,168,15175,1107.1
2007,Morrow ,39117,280,34937,801.4
2007,Muskingum ,39119,827,85939,962.3
2007,Noble ,39121,119,14614,814.3
2007,Ottawa ,39123,452,41690,1084.2
2007,Paulding ,39125,199,19735,1008.4
2007,Perry ,39127,282,35582,792.5
2007,Pickaway ,39129,467,55044,848.4
2007,Pike ,39131,311,28645,1085.7
2007,Portage ,39133,1186,159148,745.2
2007,Preble ,39135,376,42561,883.4
2007,Putnam ,39137,278,34752,800
2007,Richland ,39139,1237,126995,974.1
2007,Ross ,39141,726,77419,937.8
2007,Sandusky ,39143,638,61571,1036.2
2007,Scioto ,39145,893,78775,1133.6
2007,Seneca ,39147,582,57289,1015.9
