"Place","Place.Type","Year","Geoid","Max.Month","Measure.Desc.Short","Measure.Type","measure_axis_label","no_definition","Notes","Quantile","rate_label","Strategy","wip_definition","yes_definition","n_missing","Number.of.Records","Rate.Denom","rate_mult","Value.Rate","Illicit opioid overdose deaths","Acute Hepatitis C infections","Deaths (AI/AN)","Deaths (Asian)","Deaths (Black)","Deaths (Hispanic)","Deaths (White nH)","Incarcerated individuals","Drug overdose deaths","Unemployed individuals","Community naloxone reversals","Law Enforcement naloxone reversals","People served by treatment programs","Calls for housing-related services","Children in foster care due to parental substance use","Drug overdose ED visits","Patients receiving buprenorphine","Patients receiving opioid pills","Newborns affected by SU with POSC referral","Community Response Program","Fair Chance Hiring","Housing First","Involvement of People with Lived Experience","Low/No-Cost Sterile Syringe Access","MAT in Jails","MAT Providers","Naloxone Access","Partnerships with CBOs Serving HMPs","Peer Support Specialists","Point Person","Pre-Arrest Diversion","Prescription Dropboxes","START Program","Test Strip Distribution","Uses DHHS Resources"
"Alexander","Counties",1999,37003,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,2,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alleghany","Counties",1999,37005,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anson","Counties",1999,37007,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashe","Counties",1999,37009,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,2,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beaufort","Counties",1999,37013,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,2,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bladen","Counties",1999,37017,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabarrus","Counties",1999,37025,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,5,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caldwell","Counties",1999,37027,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,3,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carteret","Counties",1999,37031,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,5,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caswell","Counties",1999,37033,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,3,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chatham","Counties",1999,37037,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cleveland","Counties",1999,37045,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,6,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Columbus","Counties",1999,37047,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,3,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Craven","Counties",1999,37049,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,2,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Currituck","Counties",1999,37053,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davidson","Counties",1999,37057,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,9,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davie","Counties",1999,37059,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duplin","Counties",1999,37061,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Forsyth","Counties",1999,37067,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,15,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Franklin","Counties",1999,37069,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Lowest","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,3,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hertford","Counties",1999,37091,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iredell","Counties",1999,37097,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,4,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lee","Counties",1999,37105,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lincoln","Counties",1999,37109,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,7,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martin","Counties",1999,37117,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,2,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore","Counties",1999,37125,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nash","Counties",1999,37127,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,5,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onslow","Counties",1999,37133,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,2,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perquimans","Counties",1999,37143,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
